# 키워드 유형별 월 검색수 — 화면에 실을 순서를 정하는 기준
#
# 왜 필요한가 (2026-09-05 (토) 대표 지시)
#   "상가청소 보다는 검색량이 높은 입주청소나, 청소업체 이런 키워드들 위주로 보여주고"
#   지금까지는 시작 순위가 낮았던 순서로 골랐다. 100위에서 올라온 것이 앞에 섰는데,
#   그 키워드를 찾는 사람이 한 달에 400명이면 사장님에게는 큰 숫자가 아니다.
#   상가청소 400 · 입주청소 85,780 — 214배다. 순서를 검색량으로 바꾼다.
#
# 왜 지역명을 안 붙이나
#   이 저장소는 공개다. 부천상가청소 처럼 지역이 붙으면 어느 가게 얘기인지 좁혀진다.
#   그래서 가림 표기의 공개세부(맛집 · 상가청소) 칸에만 맞춰 유형 단위로 적는다.
#   읽는 곳: scripts/place-rank/build_cases.py (mask 의 공개세부로 join) ·
#            scripts/place-rank/rank_records.py (키워드 유형으로 join)
#
# 값은 네이버 검색광고 키워드도구 실측이다. 추정하지 않는다 (C-42).
# 형식: 키워드유형<탭>월검색수<탭>조회일

카페	1100300	2026-09-04
맛집	751600	2026-09-04
피부과	513000	2026-09-04
치과	268900	2026-09-04
샤브샤브	212500	2026-09-04
네일	202500	2026-09-04
네일샵	166570	2026-09-04
꽃집	153100	2026-09-04
고기집	113100	2026-09-04
입주청소	85780	2026-09-04
대형카페	56690	2026-09-04
카센터	52160	2026-09-04
누수탐지	47760	2026-09-04
누수	35430	2026-09-04
청소업체	20610	2026-09-04
소갈비	19470	2026-09-04
디저트카페	16260	2026-09-04
가발	13630	2026-09-04
정장	11470	2026-09-04
맞춤정장	8060	2026-09-04
오션뷰카페	5250	2026-09-04
이사청소	5230	2026-09-04
후드청소	2170	2026-09-04
준공청소	1780	2026-09-04
사무실청소	1770	2026-09-04
정기청소	790	2026-09-04
맞춤가발	760	2026-09-04
상가청소	400	2026-09-04
병원청소	380	2026-09-04
새집청소	170	2026-09-04
